order_id,txn_id,received_at,amount,mode,status,utr
ORD5000,PT200000,2024-07-16 09:49,2977.00,UPI,SETTLED,1405
ORD5001,PT200001,2024-07-21 20:22,273.00,UPI,SETTLED,1716
ORD5002,PT200002,2024-07-12 19:26,991.00,UPI,SETTLED,1798
ORD5003,PT200003,2024-07-22 18:09,1254.00,UPI,SETTLED,3414
ORD5004,PT200004,2024-07-25 17:29,1831.00,UPI,SETTLED,5559
ORD5005,PT200005,2024-07-04 14:52,3121.00,UPI,SETTLED,3673
ORD5006,PT200006,2024-07-12 17:45,1026.00,UPI,SETTLED,4142
ORD5007,PT200007,2024-07-04 09:19,1464.00,UPI,SETTLED,4533
ORD5008,PT200008,2024-07-23 09:22,1261.00,UPI,SETTLED,2551
ORD5009,PT200009,2024-07-06 15:30,186.00,UPI,SETTLED,4017
ORD5010,PT200010,2024-07-27 20:31,727.00,UPI,SETTLED,1083
ORD5011,PT200011,2024-07-15 11:10,415.00,UPI,SETTLED,1100
ORD5012,PT200012,2024-07-20 20:07,2684.00,UPI,SETTLED,8115
ORD5013,PT200013,2024-07-06 10:48,703.00,UPI,SETTLED,8450
ORD5014,PT200014,2024-07-09 14:37,1700.00,UPI,SETTLED,6871
ORD5015,PT200015,2024-07-15 10:32,198.00,UPI,SETTLED,8735
ORD5016,PT200016,2024-07-20 19:38,3025.00,UPI,SETTLED,5352
ORD5017,PT200017,2024-07-13 12:12,434.00,UPI,SETTLED,3437
ORD5018,PT200018,2024-07-07 17:42,2110.00,UPI,SETTLED,8829
ORD5019,PT200019,2024-07-01 10:32,503.00,UPI,SETTLED,2655
ORD5020,PT200020,2024-07-09 09:34,57.00,UPI,SETTLED,7983
ORD5021,PT200021,2024-07-06 19:14,2822.00,UPI,SETTLED,2524
ORD5022,PT200022,2024-07-18 19:55,1322.00,UPI,SETTLED,6045
ORD5023,PT200023,2024-07-21 19:12,850.00,UPI,SETTLED,75517
ORD5024,PT200024,2024-07-21 19:13,850.00,UPI,SETTLED,75517
ORD5025,PT200025,2024-07-01 14:16,2963.00,UPI,SETTLED,9363
ORD5026,PT200026,2024-07-07 20:06,2309.00,UPI,SETTLED,7437
ORD5027,PT200027,2024-07-08 20:17,119.00,UPI,SETTLED,5982
ORD5028,PT200028,2024-07-26 09:01,2629.00,UPI,SETTLED,2164
ORD5029,PT200029,2024-07-16 19:26,678.00,UPI,SETTLED,3061
ORD5030,PT200030,2024-07-09 11:41,1990.00,UPI,SETTLED,7087
ORD5031,PT200031,2024-07-26 11:16,3023.00,UPI,SETTLED,9923
ORD5032,PT200032,2024-07-07 10:25,635.00,UPI,SETTLED,5077
ORD5033,PT200033,2024-07-12 14:39,1001.00,UPI,SETTLED,8516
ORD5034,PT200034,2024-07-25 13:09,634.00,UPI,SETTLED,1322
ORD5035,PT200035,2024-07-23 19:25,1360.00,UPI,SETTLED,7657
ORD5036,PT200036,2024-07-03 10:34,2207.00,UPI,SETTLED,6275
ORD5037,PT200037,2024-07-04 15:23,246.00,UPI,SETTLED,8852
ORD5038,PT200038,2024-07-03 15:58,344.00,UPI,SETTLED,4586
ORD5039,PT200039,2024-07-17 11:02,2806.00,UPI,SETTLED,9717
ORD5040,PT200040,2024-07-02 20:53,2291.00,UPI,SETTLED,6453
ORD5041,PT200041,2024-07-09 10:55,2752.00,UPI,SETTLED,1951
ORD5042,PT200042,2024-07-16 16:00,1962.00,UPI,SETTLED,9857
ORD5043,PT200043,2024-07-09 11:13,2223.00,UPI,SETTLED,6003
ORD5044,PT200044,2024-07-25 17:04,2971.00,UPI,SETTLED,4157
ORD5045,PT200045,2024-07-13 18:58,2541.00,UPI,SETTLED,2599
ORD5046,PT200046,2024-07-23 19:10,2944.00,UPI,SETTLED,5138
ORD5047,PT200047,2024-07-24 10:45,2582.00,UPI,SETTLED,4196
