txn_id,datetime,particulars,type,amount,status,utr
PP100000,2024-07-18 09:59,UPI/CR/2652/Customer,CREDIT,3161.00,SETTLED,2652
PP100001,2024-07-18 09:10,UPI/CR/5393/Customer,CREDIT,2604.00,SETTLED,5393
PP100002,2024-07-18 09:23,UPI/CR/6670/Customer,CREDIT,1246.00,SETTLED,6670
PP100003,2024-07-18 09:12,UPI/CR/3481/Customer,CREDIT,2137.00,SETTLED,3481
PP100004,2024-07-18 09:56,UPI/CR/7705/Customer,CREDIT,1475.00,SETTLED,7705
PP100005,2024-07-18 09:00,UPI/CR/9828/Customer,CREDIT,2541.00,SETTLED,9828
PP100006,2024-07-18 09:31,UPI/CR/8590/Customer,CREDIT,3009.00,SETTLED,8590
PP100007,2024-07-18 10:36,UPI/CR/4130/Customer,CREDIT,845.00,SETTLED,4130
PP100008,2024-07-18 10:20,UPI/CR/2289/Customer,CREDIT,1517.00,SETTLED,2289
PP100009,2024-07-18 10:47,UPI/CR/1384/Customer,CREDIT,422.00,SETTLED,1384
PP100010,2024-07-18 10:29,UPI/CR/6718/Customer,CREDIT,2343.00,SETTLED,6718
PP100011,2024-07-18 10:16,UPI/CR/8281/Customer,CREDIT,1269.00,SETTLED,8281
PP100012,2024-07-18 10:13,UPI/CR/2820/Customer,CREDIT,3153.00,SETTLED,2820
PP100013,2024-07-18 10:37,UPI/CR/2139/Customer,CREDIT,187.00,SETTLED,2139
PP100014,2024-07-18 11:06,UPI/CR/5320/Customer,CREDIT,544.00,SETTLED,5320
PP100015,2024-07-18 11:09,UPI/CR/2936/Customer,CREDIT,1656.00,SETTLED,2936
PP100016,2024-07-18 11:25,UPI/CR/8260/Customer,CREDIT,2279.00,SETTLED,8260
PP100017,2024-07-18 11:55,UPI/CR/7082/Customer,CREDIT,1394.00,SETTLED,7082
PP100018,2024-07-18 11:06,UPI/CR/1981/Customer,CREDIT,2496.00,SETTLED,1981
PP100019,2024-07-18 11:58,UPI/CR/2500/Customer,CREDIT,1865.00,SETTLED,2500
PP100020,2024-07-18 11:45,UPI/CR/6871/Customer,CREDIT,1511.00,SETTLED,6871
PP100021,2024-07-18 12:24,UPI/CR/4481/Customer,CREDIT,171.00,SETTLED,4481
PP100022,2024-07-18 12:46,UPI/CR/8022/Customer,CREDIT,2621.00,SETTLED,8022
PP100023,2024-07-18 12:07,UPI/CR/9029/Customer,CREDIT,1436.00,SETTLED,9029
PP100024,2024-07-18 12:03,UPI/CR/7190/Customer,CREDIT,2482.00,SETTLED,7190
PP100025,2024-07-18 12:45,UPI/CR/6273/Customer,CREDIT,1756.00,SETTLED,6273
PP100026,2024-07-18 12:37,UPI/CR/9245/Customer,CREDIT,2055.00,SETTLED,9245
PP100027,2024-07-18 12:05,UPI/CR/2366/Customer,CREDIT,1007.00,SETTLED,2366
PP100028,2024-07-18 13:34,UPI/CR/1387/Customer,CREDIT,394.00,SETTLED,1387
PP100029,2024-07-18 13:50,UPI/CR/7998/Customer,CREDIT,1354.00,SETTLED,7998
PP100030,2024-07-18 13:52,UPI/CR/3827/Customer,CREDIT,2837.00,SETTLED,3827
PP100031,2024-07-18 13:00,UPI/CR/3575/Customer,CREDIT,733.00,SETTLED,3575
PP100032,2024-07-18 13:38,UPI/CR/6226/Customer,CREDIT,2378.00,SETTLED,6226
PP100033,2024-07-18 13:56,UPI/CR/3239/Customer,CREDIT,219.00,SETTLED,3239
PP100034,2024-07-18 13:56,UPI/CR/4965/Customer,CREDIT,1679.00,SETTLED,4965
PP100035,2024-07-18 14:18,UPI/CR/9894/Customer,CREDIT,2883.00,SETTLED,9894
PP100036,2024-07-18 14:27,UPI/CR/5755/Customer,CREDIT,1828.00,SETTLED,5755
PP100037,2024-07-18 14:09,UPI/CR/3404/Customer,CREDIT,2624.00,SETTLED,3404
PP100038,2024-07-18 14:47,UPI/CR/2258/Customer,CREDIT,711.00,SETTLED,2258
PP100039,2024-07-18 14:44,UPI/CR/3423/Customer,CREDIT,2249.00,SETTLED,3423
PP100040,2024-07-18 14:38,UPI/CR/5987/Customer,CREDIT,2914.00,SETTLED,5987
PP100041,2024-07-18 15:21,UPI/CR/7908/Customer,CREDIT,964.00,SETTLED,7908
PP100042,2024-07-18 15:31,UPI/CR/7819/Customer,CREDIT,826.00,SETTLED,7819
PP100043,2024-07-18 15:46,UPI/CR/4922/Customer,CREDIT,2913.00,SETTLED,4922
PP100044,2024-07-18 15:22,UPI/CR/6527/Customer,CREDIT,856.00,SETTLED,6527
PP100045,2024-07-18 15:32,UPI/CR/6975/Customer,CREDIT,487.00,SETTLED,6975
PP100046,2024-07-18 15:04,UPI/CR/5188/Customer,CREDIT,2507.00,SETTLED,5188
PP100047,2024-07-18 15:45,UPI/CR/6458/Customer,CREDIT,1624.00,SETTLED,6458
PP100048,2024-07-18 16:35,UPI/CR/9184/Customer,CREDIT,261.00,SETTLED,9184
PP100049,2024-07-18 16:27,UPI/CR/8940/Customer,CREDIT,2450.00,SETTLED,8940
PP100050,2024-07-18 16:02,UPI/CR/8617/Customer,CREDIT,2014.00,SETTLED,8617
PP100051,2024-07-18 16:37,UPI/CR/2075/Customer,CREDIT,953.00,SETTLED,2075
PP100052,2024-07-18 16:39,UPI/CR/8064/Customer,CREDIT,232.00,SETTLED,8064
PP100053,2024-07-18 16:49,UPI/CR/1084/Customer,CREDIT,1940.00,SETTLED,1084
PP100054,2024-07-18 16:48,UPI/CR/1805/Customer,CREDIT,759.00,SETTLED,1805
PP100055,2024-07-18 17:16,UPI/CR/6136/Customer,CREDIT,2459.00,SETTLED,6136
PP100056,2024-07-18 17:59,UPI/CR/1366/Customer,CREDIT,3132.00,SETTLED,1366
PP100057,2024-07-18 17:26,UPI/CR/1758/Customer,CREDIT,2144.00,SETTLED,1758
