sale_id,datetime,amount,mode,app,utr_expected,note
1,2024-07-18 09:59,3161.00,UPI,PHONEPE,2652,
2,2024-07-18 09:10,2604.00,UPI,PHONEPE,5393,
3,2024-07-18 09:23,1246.00,UPI,PHONEPE,6670,
4,2024-07-18 09:12,2137.00,UPI,PHONEPE,3481,
5,2024-07-18 09:56,1475.00,UPI,PHONEPE,7705,
6,2024-07-18 09:00,2541.00,UPI,PHONEPE,9828,
7,2024-07-18 09:31,3009.00,UPI,PHONEPE,8590,
8,2024-07-18 10:36,845.00,UPI,PHONEPE,4130,
9,2024-07-18 10:20,1517.00,UPI,PHONEPE,2289,
10,2024-07-18 10:47,422.00,UPI,PHONEPE,1384,
11,2024-07-18 10:29,2343.00,UPI,PHONEPE,6718,
12,2024-07-18 10:16,1269.00,UPI,PHONEPE,8281,
13,2024-07-18 10:13,3153.00,UPI,PHONEPE,2820,
14,2024-07-18 10:37,187.00,UPI,PHONEPE,2139,
15,2024-07-18 11:06,544.00,UPI,PHONEPE,5320,
16,2024-07-18 11:09,1656.00,UPI,PHONEPE,2936,
17,2024-07-18 11:25,2279.00,UPI,PHONEPE,8260,
18,2024-07-18 11:55,1394.00,UPI,PHONEPE,7082,
19,2024-07-18 11:06,2496.00,UPI,PHONEPE,1981,
20,2024-07-18 11:58,1865.00,UPI,PHONEPE,2500,
21,2024-07-18 11:45,1511.00,UPI,PHONEPE,6871,
22,2024-07-18 12:24,171.00,UPI,PHONEPE,4481,
23,2024-07-18 12:46,2621.00,UPI,PHONEPE,8022,
24,2024-07-18 12:07,1436.00,UPI,PHONEPE,9029,
25,2024-07-18 12:03,2482.00,UPI,PHONEPE,7190,
26,2024-07-18 12:45,1756.00,UPI,PHONEPE,6273,
27,2024-07-18 12:37,2055.00,UPI,PHONEPE,9245,
28,2024-07-18 12:05,1007.00,UPI,PHONEPE,2366,
29,2024-07-18 13:34,394.00,UPI,PHONEPE,1387,
30,2024-07-18 13:50,1354.00,UPI,PHONEPE,7998,
31,2024-07-18 13:52,2837.00,UPI,PHONEPE,3827,
32,2024-07-18 13:00,733.00,UPI,PHONEPE,3575,
33,2024-07-18 13:38,2378.00,UPI,PHONEPE,6226,
34,2024-07-18 13:56,219.00,UPI,PHONEPE,3239,
35,2024-07-18 13:56,1679.00,UPI,PHONEPE,4965,
36,2024-07-18 14:18,2883.00,UPI,PHONEPE,9894,
37,2024-07-18 14:27,1828.00,UPI,PHONEPE,5755,
38,2024-07-18 14:09,2624.00,UPI,PHONEPE,3404,
39,2024-07-18 14:47,711.00,UPI,PHONEPE,2258,
40,2024-07-18 14:44,2249.00,UPI,PHONEPE,3423,
41,2024-07-18 14:38,2914.00,UPI,PHONEPE,5987,
42,2024-07-18 15:21,964.00,UPI,PHONEPE,7908,
43,2024-07-18 15:31,826.00,UPI,PHONEPE,7819,
44,2024-07-18 15:46,2913.00,UPI,PHONEPE,4922,
45,2024-07-18 15:22,856.00,UPI,PHONEPE,6527,
46,2024-07-18 15:32,487.00,UPI,PHONEPE,6975,
47,2024-07-18 15:04,2507.00,UPI,PHONEPE,5188,
48,2024-07-18 15:45,1624.00,UPI,PHONEPE,6458,
49,2024-07-18 16:35,261.00,UPI,PHONEPE,9184,
50,2024-07-18 16:27,2450.00,UPI,PHONEPE,8940,
51,2024-07-18 16:02,2014.00,UPI,PHONEPE,8617,
